   Test	 num. Robot	    Time	       Dist	   Map size	 Total Cost
      1	          1	     200	   99.33817	         80	 1406.66468
      1	          2	     200	  195.42551	         80	 1796.71917
      1	          3	     200	  297.88079	         80	 2206.29411
      1	          4	     200	  396.49063	         80	 2618.34125
      1	          5	     200	  494.97244	         80	 3001.92311
      1	          1	     400	  198.72400	         80	 2811.78238
      1	          2	     400	  393.44972	         80	 3590.79979
      1	          3	     400	  587.48584	         80	 4372.82973
      1	          4	     400	  794.60213	         80	 5222.87018
      1	          5	     400	  992.79054	         80	 6004.55713
      1	          1	     600	  298.15336	         80	 4213.10669
      1	          2	     600	  590.88636	         80	 5381.80876
      1	          3	     600	  878.29214	         80	 6537.85839
      1	          4	     600	 1181.43672	         80	 7779.76670
      1	          5	     600	 1490.46366	         80	 9007.51288
      1	          1	     800	  397.19658	         80	 5617.21462
      1	          2	     800	  790.05621	         80	 7187.86598
      1	          3	     800	 1177.49310	         80	 8737.54769
      1	          4	     800	 1580.05982	         80	10385.26002
      1	          5	     800	 1979.02561	         80	11971.67955
      1	          1	    1000	  496.52089	         80	 7020.82385
      1	          2	    1000	  989.18670	         80	 9016.84960
      1	          3	    1000	 1477.15205	         80	10940.69205
      1	          4	    1000	 1978.59685	         80	12986.98252
      1	          5	    1000	 2473.51342	         80	14957.02484
      1	          1	    1200	  594.94378	         80	 8420.28637
      1	          2	    1200	 1188.62574	         80	10822.72116
      1	          3	    1200	 1772.13733	         80	13122.97765
      1	          4	    1200	 2372.35119	         80	15571.19736
      1	          5	    1200	 2952.42100	         80	17880.95091
      1	          1	    1400	  694.49809	         80	 9826.43870
      1	          2	    1400	 1384.44816	         80	12611.06046
      1	          3	    1400	 2058.10244	         80	15267.55943
      1	          4	    1400	 2755.43473	         80	18109.12215
      1	          5	    1400	 3444.29438	         80	20856.01880
      1	          1	    1600	  794.29711	         80	11230.32370
      1	          2	    1600	 1582.55231	         80	14409.06766
      1	          3	    1600	 2355.01116	         80	17462.40803
      1	          4	    1600	 3147.33919	         80	20678.72374
      1	          5	    1600	 3930.78840	         80	23806.68383
      1	          1	    1800	  892.12014	         80	12628.82954
      1	          2	    1800	 1781.91953	         80	16209.42204
      1	          3	    1800	 2651.97119	         80	19658.54391
      1	          4	    1800	 3544.16375	         80	23266.20236
      1	          5	    1800	 4385.09145	         80	26629.30631
      1	          1	     200	   99.75385	        100	 1405.16299
      1	          2	     200	  199.91489	        100	 1810.00109
      1	          3	     200	  297.80771	        100	 2203.05284
      1	          4	     200	  396.48492	        100	 2602.38977
      1	          5	     200	  495.05290	        100	 2999.77020
      1	          1	     400	  199.69611	        100	 2809.49066
      1	          2	     400	  397.62680	        100	 3603.23660
      1	          3	     400	  595.05872	        100	 4394.98739
      1	          4	     400	  789.89690	        100	 5185.48049
      1	          5	     400	  987.46348	        100	 5972.77722
      1	          1	     600	  299.22489	        100	 4208.36554
      1	          2	     600	  595.39951	        100	 5402.68489
      1	          3	     600	  893.29188	        100	 6589.54814
      1	          4	     600	 1187.89306	        100	 7782.56644
      1	          5	     600	 1481.62709	        100	 8952.36220
      1	          1	     800	  398.20510	        100	 5607.32546
      1	          2	     800	  793.78259	        100	 7200.01602
      1	          3	     800	 1191.95493	        100	 8785.06863
      1	          4	     800	 1585.90666	        100	10377.87699
      1	          5	     800	 1972.54132	        100	11921.98872
      1	          1	    1000	  498.00902	        100	 7009.25459
      1	          2	    1000	  993.54704	        100	 9003.52389
      1	          3	    1000	 1490.49618	        100	10981.18732
      1	          4	    1000	 1980.76264	        100	12959.47169
      1	          5	    1000	 2463.65642	        100	14889.27113
      1	          1	    1200	  597.70022	        100	 8411.49264
      1	          2	    1200	 1193.33696	        100	10807.35074
      1	          3	    1200	 1785.80547	        100	13163.18427
      1	          4	    1200	 2379.95741	        100	15563.52282
      1	          5	    1200	 2957.74716	        100	17870.62684
      1	          1	    1400	  696.72230	        100	 9810.72855
      1	          2	    1400	 1390.51572	        100	12597.91091
      1	          3	    1400	 2085.23523	        100	15363.61674
      1	          4	    1400	 2778.21380	        100	18159.15332
      1	          5	    1400	 3449.74025	        100	20842.39804
      1	          1	    1600	  795.23443	        100     11207.81616
      1	          2	    1600	 1589.08926	        100	14393.50756
      1	          3	    1600	 2384.18896	        100	17562.57927
      1	          4	    1600	 3176.41092	        100	20757.91142
      1	          5	    1600	 3934.27194	        100	23782.80410
      1	          1	    1800	  893.67442	        100	12603.74688
      1	          2	    1800	 1785.94317	        100	16181.79149
      1	          3	    1800	 2681.16816	        100     19754.40345
      1	          4	    1800	 3572.04366	        100	23343.91559
      1	          5	    1800	 4422.76865	        100	26739.72150
